# linux/amd64, 16 logical CPUs, go1.26.6
scenario,ticks,mean_us,p50_us,p95_us,p99_us,max_us,tick_interval_us,p99_share_of_interval
guardian/party1/stage1,2400,13.3,10.7,23.9,52.1,247.3,50000.0,0.001
guardian/party4/stage1,2400,32.9,27.8,55.7,74.0,480.8,50000.0,0.001
guardian/party1/stage2,2400,12.8,9.3,21.9,50.8,293.1,50000.0,0.001
guardian/party4/stage2,2400,38.2,28.7,62.7,116.1,344.4,50000.0,0.002
king/party1/stage1,2401,16.5,15.4,26.6,47.3,313.5,50000.0,0.001
king/party4/stage1,2401,38.1,29.0,55.1,99.5,213.8,50000.0,0.002
king/party1/stage2,2401,10.1,8.8,10.3,38.9,262.7,50000.0,0.001
king/party4/stage2,2401,33.5,27.6,55.3,75.0,672.2,50000.0,0.002
king/party1/stage3,2401,12.8,9.1,18.0,34.9,682.7,50000.0,0.001
king/party4/stage3,2401,39.5,29.1,58.7,86.6,818.3,50000.0,0.002
cleared/party1,2400,5.9,5.4,7.3,14.1,106.8,50000.0,0.000
cleared/party4,2400,29.7,23.5,47.4,63.5,288.1,50000.0,0.001
