# linux/amd64, 16 logical CPUs, go1.26.6
scenario,ticks,mean_us,p50_us,p95_us,p99_us,max_us,tick_interval_us,p99_share_of_interval
guardian/party1/stage1,2400,13.3,11.0,23.0,51.8,213.3,50000.0,0.001
guardian/party4/stage1,2400,30.7,27.9,41.1,69.7,164.0,50000.0,0.001
guardian/party1/stage2,2400,14.2,9.9,25.7,50.7,354.9,50000.0,0.001
guardian/party4/stage2,2400,34.1,27.9,56.5,109.0,294.8,50000.0,0.002
king/party1/stage1,2401,15.1,13.0,25.3,46.1,346.1,50000.0,0.001
king/party4/stage1,2401,28.1,26.5,32.6,67.5,193.7,50000.0,0.001
king/party1/stage2,2401,12.3,9.1,15.8,53.2,273.7,50000.0,0.001
king/party4/stage2,2401,34.3,27.8,60.0,79.8,644.4,50000.0,0.002
king/party1/stage3,2401,12.9,9.1,17.5,35.9,653.1,50000.0,0.001
king/party4/stage3,2401,34.7,28.7,55.3,72.1,493.2,50000.0,0.001
cleared/party1,2400,6.6,5.4,10.9,12.9,140.2,50000.0,0.000
cleared/party4,2400,42.3,39.9,53.6,63.1,292.1,50000.0,0.001
